Benutzer,Spiel,SpielzeitInStunden,Genre,Tags
1500 Gamer,Rocket League,1307.1,"Action, Indie, Racing, Sports","{'Multiplayer': 6583, 'Football (Soccer)': 5224, 'Competitive': 4556, 'Sports': 3996, 'Racing': 3878, 'Team-Based': 3411, 'Online Co-Op': 2859, 'Football (American)': 2413, 'Fast-Paced': 2203, 'Co-op': 2141, 'Action': 1935, 'Funny': 1896, 'Great Soundtrack': 1668, 'Local Multiplayer': 1616, 'Split Screen': 1488, 'Local Co-Op': 1349, 'Singleplayer': 1232, '4 Player Local': 1212, 'Casual': 1202, 'Indie': 879}"
1500 Gamer,Killing Floor 2,518.9,Action,"{'Zombies': 3098, 'Online Co-Op': 2827, 'Post-apocalyptic': 2823, 'Multiplayer': 2821, 'Gore': 2816, 'FPS': 2816, 'Hack and Slash': 2801, 'Moddable': 2788, 'Action': 2782, 'Horror': 2779, 'Shooter': 2779, 'First-Person': 2774, 'Survival': 2770, 'Co-op': 2766, 'Survival Horror': 2756, 'Team-Based': 2755, 'Atmospheric': 2740, 'PvE': 1172, 'Character Customization': 1140, 'Dark': 1136}"
1500 Gamer,Counter-Strike 2,352.0,Action,"{'Action': 5473, 'FPS': 4898, 'Multiplayer': 3445, 'Shooter': 3395, 'Classic': 2822, 'Team-Based': 1896, 'First-Person': 1737, 'Competitive': 1632, 'Tactical': 1370, ""1990's"": 1231, 'e-sports': 1215, 'PvP': 907, 'Old School': 807, 'Military': 647, 'Strategy': 628, 'Survival': 312, 'Score Attack': 296, '1980s': 276, 'Assassin': 237, 'Nostalgia': 180}"
1500 Gamer,Call of Duty®,231.5,Action,"{'Action': 227, 'World War II': 224, 'FPS': 218, 'Multiplayer': 192, 'Singleplayer': 183, 'Shooter': 147, 'War': 141, 'Classic': 131, 'First-Person': 114, 'Historical': 98, 'Military': 69, 'Atmospheric': 59, 'Story Rich': 30, 'Controller': 24, 'Co-op': 20, 'Adventure': 19, 'Online Co-Op': 12, 'Casual': 11, 'Simulation': 8, 'Zombies': 7}"
1500 Gamer,Grand Theft Auto V,216.9,"Action, Adventure","{'Open World': 32016, 'Action': 23189, 'Multiplayer': 21351, 'Crime': 19076, 'Automobile Sim': 18585, 'Third Person': 18421, 'First-Person': 18062, 'Mature': 14770, 'Shooter': 14686, 'Adventure': 13436, 'Singleplayer': 12263, 'Third-Person Shooter': 11808, 'Racing': 11408, 'Co-op': 10089, 'Sandbox': 9851, 'Atmospheric': 9817, 'Funny': 9239, 'Great Soundtrack': 8598, 'Comedy': 8463, 'Moddable': 6805}"
1500 Gamer,Satisfactory,114.8,"Adventure, Indie, Simulation, Strategy, Early Access","{'Base-Building': 1623, 'Automation': 1435, 'Open World': 1311, 'Multiplayer': 1286, 'Crafting': 1247, 'Co-op': 1184, 'Resource Management': 1128, 'Building': 1096, 'Sandbox': 1030, 'Exploration': 871, 'Adventure': 664, 'Open World Survival Craft': 620, 'Early Access': 591, 'Simulation': 581, 'Survival': 574, 'First-Person': 540, 'Strategy': 533, 'Sci-fi': 439, 'Singleplayer': 429, 'Indie': 391}"
1500 Gamer,Terraria,112.2,"Action, Adventure, Indie, RPG","{'Open World Survival Craft': 15969, 'Sandbox': 15725, 'Survival': 12458, '2D': 12250, 'Multiplayer': 12175, 'Adventure': 11330, 'Pixel Graphics': 10877, 'Crafting': 10374, 'Building': 9877, 'Exploration': 8708, 'Co-op': 7643, 'Open World': 7394, 'Online Co-Op': 5959, 'Indie': 5903, 'Action': 5539, 'RPG': 5161, 'Singleplayer': 5043, 'Replay Value': 4225, 'Platformer': 3936, 'Atmospheric': 3462}"
1500 Gamer,Infestation: The New Z,95.9,"Action, Indie, Massively Multiplayer, RPG, Free to Play","{'Zombies': 1800, 'Free to Play': 1697, 'Survival': 1480, 'Multiplayer': 1305, 'Open World': 1279, 'Massively Multiplayer': 780, 'FPS': 711, 'Shooter': 622, 'Action': 620, 'PvP': 536, 'Co-op': 477, 'Survival Horror': 385, 'RPG': 358, 'Adventure': 336, 'Violent': 326, 'Horror': 323, 'Third-Person Shooter': 314, 'PvE': 284, 'Indie': 276, 'Walking Simulator': 249}"
1500 Gamer,Shakes and Fidget,66.0,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free to Play","{'Free to Play': 521, 'RPG': 295, 'Massively Multiplayer': 218, 'Casual': 212, 'Multiplayer': 201, 'Adventure': 182, 'Strategy': 176, 'Clicker': 158, 'MMORPG': 146, 'Character Customization': 135, 'Fantasy': 133, 'Indie': 114, 'Comedy': 87, 'Medieval': 84, 'Singleplayer': 70, 'Funny': 64, 'Classic': 63, 'Dark Humor': 56, 'Story Rich': 50, 'Cult Classic': 48}"
1500 Gamer,Pummel Party,56.7,"Action, Casual, Indie","{'Multiplayer': 794, 'Funny': 521, 'Online Co-Op': 466, '4 Player Local': 456, 'Board Game': 399, 'Party Game': 339, 'Minigames': 277, 'Casual': 276, 'Local Multiplayer': 270, 'Co-op': 263, 'Party': 216, 'Local Co-Op': 203, 'Action': 175, 'Indie': 171, 'Comedy': 158, 'Tabletop': 107, 'Controller': 86, 'Gore': 82, 'Colorful': 70, 'Singleplayer': 51}"
